run,method,level,seed,game_seconds,workers,army_supply,supply_used,bases,minerals
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,955.1785714285714,68,46,114,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,960.1785714285714,68,46,114,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,965.1785714285714,68,46,114,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,970.1785714285714,68,46,114,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,975.1785714285714,68,46,114,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,980.1785714285714,67,46,113,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,985.1785714285714,67,46,113,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,990.1785714285714,67,46,113,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,995.1785714285714,67,46,113,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,1000.1785714285714,67,46,113,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,1005.1785714285714,67,46,113,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,1010.1785714285714,67,46,113,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,1015.1785714285714,67,46,113,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,1020.1785714285714,67,46,113,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,1025.1785714285716,67,46,113,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,1030.1785714285716,67,46,113,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,1035.1785714285716,67,46,113,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,1040.1785714285716,67,46,113,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,1045.1785714285716,67,46,113,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,1050.1785714285716,67,46,113,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,1055.1785714285716,67,46,113,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,1060.1785714285716,67,44,111,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,1065.1785714285716,67,44,111,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,1070.1785714285716,67,44,111,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,1075.1785714285716,67,44,111,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,1080.1785714285716,67,44,111,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,1085.1785714285716,67,44,111,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,1090.1785714285716,66,44,110,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,1095.1785714285716,66,44,110,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,1100.1785714285716,66,44,110,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,1105.1785714285716,66,44,110,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,1110.1785714285716,66,44,110,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,1115.1785714285716,66,44,110,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,1120.1785714285716,66,44,110,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,1125.1785714285716,66,44,110,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,1130.1785714285716,66,40,106,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,1135.1785714285716,66,40,106,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,1140.1785714285716,65,40,105,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,1145.1785714285716,65,40,105,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,1150.1785714285716,65,40,105,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,1155.1785714285716,65,40,105,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,1160.1785714285716,65,40,105,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,1165.1785714285716,65,40,105,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,1170.1785714285716,65,40,105,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,1175.1785714285716,65,38,103,1,15
Large-Language-Models-play-StarCraftII/jev_runs/long-20m-001,jev_only,2,1,1180.1785714285716,65,38,103,1,15
